"330","N2","営","エイ","いとな.む","diriger (un spectacle, une entreprise), travail"
"331","N1","嗣","シ","-","héritier, succéder à"
"332","N1","嘆","タン","なげ.く","se lamenter, gémir, chagrin, peine"
"333","N1","嘱","ショク","しょく.する, たの.む","confier, demander"
"334","N2","器","キ","うつわ","ustensile, instrument, appareil"
"335","N1","噴","フン","ふ.く","émettre, jailler, éruption"
"336","N1","嚇","カク","おど.かす","menaçant, intimidant, dignité, majesté"
"337","N1","囚","シュウ","とら.われる","criminel, prisonnier, arrêter, attraper"
"338","N5","四","シ","よ, よん","quatre"
"339","N4","回","カイ","まわ.る","tourner, tour"
"340","N3","因","イン","よ.る","cause, facteur, dépendre de"
"341","N2","団","ダン, トン","かたまり, まる.い","groupe, association"
"342","N3","困","コン","こま.る","être embarrassé, gêné"
"343","N2","囲","イ","かこ.む","entourer, assiéger, encercler"
"344","N4","図","ズ, ト","はか.る","carte, dessin, plan"
"345","N2","固","コ","かた.い,  かた.める","dur, ferme, solide, durcir"
"346","N5","国","コク","くに","pays"
"347","N1","圏","ケン","かこ.い","sphère, cercle, rayon"
"348","N3","園","エン","その","parc, jardin"
"349","N5","土","ド, ト","つち","sol, terre, terrain"
"350","N2","圧","アツ, エン, オウ","お.す, へ.す, おさ.える,お.さえる","pression, domination, submerger, dominer"
"351","N3","在","ザイ","あ.る","exister, être"
"352","N4","地","チ, ジ","どま","sol, terre, terrain"
"353","N2","坂","ハン","さか","pente, colline"
"354","N2","均","キン","なら.す","égalisé, aplani, nivelé"
"355","N2","坊","ボウ","-","enfant, garçon, prêtre bouddhiste, bonze"
"356","N1","坑","コウ","-","mine, carrière, fosse, trou"
"357","N1","坪","ヘイ","つぼ","unité de surface (tsubo = 3,306 m² = 2tatamis)"
"358","N1","垂","スイ","た.れる","suspendre, pendre"
"359","N2","型","ケイ","かた","modèle, type"
"360","N1","垣","エン","かき","haie, clôture, mur"
"361","N2","埋","マイ","う.める, うず.める, い.ける","enterrer, ensevelir, enfouir, remplir"
"362","N2","城","ジョウ","しろ","château, forteresse"
"363","N2","域","イキ","-","zone, région, limite"
"364","N1","執","シツ, シュウ","と.る","tenace, s'emparer de, saisir"
"365","N1","培","バイ","つちか.う","culture agricole, cultiver"
"366","N2","基","キ","もと, もとい","base, fondement, fondations"
"367","N1","堀","クツ","ほり","fossé, douve, tranchée"
"368","N4","堂","ドウ","-","temple, sanctuaire, salle"
"369","N1","堅","ケン","かた.い","dur, solide ,tendu, ferme"
"370","N1","堕","ダ","お.ちる, くず.す","dégénérer, sombrer"
"371","N1","堤","テイ","つつみ","digue, berge"
"372","N1","堪","カン, タン","た.える, たま.る, こ.らえる, こた.える","résister, endurer, supporter"
"373","N3","報","ホウ","むく.いる","rapport, information, faire savoir"
"374","N4","場","ジョウ, チョウ","ば","lieu, place, aire"
"375","N1","塀","ヘイ","-","barrière, mur"
"376","N1","塁","ルイ","とりで","base (au base-ball), forteresse, rempart"
"377","N1","塊","カイ, ケ","かたまり, つちくれ","morceau, motte, masse"
"378","N1","塑","ソ","でく","modèle, moulure, plastique"
"379","N2","塔","トウ","-","pagode, tour"
